Date Scan;Outil;Cible;ID Vulnérabilité (CVE);Titre / Package;Sévérité;Description
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-4873;curl;MEDIUM;A vulnerability exists where a connection requiring TLS incorrectly reuses an existing unencrypted c...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-4873;libcurl4t64;MEDIUM;A vulnerability exists where a connection requiring TLS incorrectly reuses an existing unencrypted c...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;bsdutils;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;libblkid1;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;liblastlog2-2;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;libmount1;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;libsmartcols1;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;libuuid1;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;login;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;mount;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27456;util-linux;MEDIUM;util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Che...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-15649;perl-base;MEDIUM;IO::Uncompress::Unzip versions before 2.215 for Perl propagate uncaught exception when parsing zip h...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-27171;zlib1g;MEDIUM;zlib before 1.3.2 allows CPU consumption via crc32_combine64 and crc32_combine_gen64 because x2nmodp...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-66382;libexpat1;MEDIUM;In libexpat through 2.7.3, a crafted file with an approximate size of 2 MiB can lead to dozens of se...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41989;libgcrypt20;MEDIUM;Libgcrypt before 1.12.2 sometimes allows a heap-based buffer overflow and denial of service via craf...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32776;libexpat1;MEDIUM;libexpat before 2.7.5 allows a NULL pointer dereference with empty external parameter entity content...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32778;libexpat1;MEDIUM;libexpat before 2.7.5 allows a NULL pointer dereference in the function setContext on retry after an...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32777;libexpat1;MEDIUM;libexpat before 2.7.5 allows an infinite loop while parsing DTD content....
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-33165;libde265-0;MEDIUM;libde265 is an open source implementation of the h.265 video codec. Prior to version 1.0.17, a craft...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2024-56433;login.defs;LOW;shadow-utils (aka shadow) 4.4 through 4.17.0 establishes a default /etc/subuid behavior (e.g., uid 1...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2024-56433;passwd;LOW;shadow-utils (aka shadow) 4.4 through 4.17.0 establishes a default /etc/subuid behavior (e.g., uid 1...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2013-0337;nginx;LOW;The default configuration of nginx, possibly 1.3.13 and earlier, uses world-readable permissions for...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-11731;libxslt1.1;LOW;A flaw was found in the exsltFuncResultComp() function of libxslt, which handles EXSLT <func:result>...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-0989;libxml2;LOW;A flaw was identified in the RelaxNG parser of libxml2 related to how external schema inclusions are...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-0992;libxml2;LOW;A flaw was found in the libxml2 library. This uncontrolled resource consumption vulnerability occurs...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-24515;libexpat1;LOW;In libexpat before 2.7.4, XML_ExternalEntityParserCreate does not copy unknown encoding handler user...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40228;libsystemd0;LOW;In systemd 259, systemd-journald can send ANSI escape sequences to the terminals of arbitrary users ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-40228;libudev1;LOW;In systemd 259, systemd-journald can send ANSI escape sequences to the terminals of arbitrary users ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-4367;libxpm4;UNKNOWN;N/A
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2017-17740;libldap2;NEGLIGIBLE;contrib/slapd-modules/nops/nops.c in OpenLDAP through 2.4.45, when both the nops module and the memb...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2011-3389;libgnutls30t64;NEGLIGIBLE;The SSL protocol, as used in certain configurations in Microsoft Windows and Microsoft Internet Expl...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2005-2541;tar;NEGLIGIBLE;Tar 1.15.1 does not properly warn the user when extracting setuid or setgid files, which may allow l...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2015-3276;libldap2;NEGLIGIBLE;The nss_parse_ciphers function in libraries/libldap/tls_m.c in OpenLDAP does not properly parse Open...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-9192;libc-bin;NEGLIGIBLE;In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-9192;libc6;NEGLIGIBLE;In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-5709;libgssapi-krb5-2;NEGLIGIBLE;"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_k..."
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-5709;libk5crypto3;NEGLIGIBLE;"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_k..."
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-5709;libkrb5-3;NEGLIGIBLE;"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_k..."
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-5709;libkrb5support0;NEGLIGIBLE;"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_k..."
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2009-4487;nginx;NEGLIGIBLE;nginx 0.7.64 writes data to a log file without sanitizing non-printable characters, which might allo...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2011-3374;apt;NEGLIGIBLE;It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master k...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2011-3374;libapt-pkg7.0;NEGLIGIBLE;It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master k...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-20796;libc-bin;NEGLIGIBLE;In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-20796;libc6;NEGLIGIBLE;In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-1010025;libc-bin;NEGLIGIBLE;GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addre...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-1010025;libc6;NEGLIGIBLE;GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addre...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2017-16232;libtiff6;NEGLIGIBLE;LibTIFF 4.0.8 has multiple memory leak vulnerabilities, which allow attackers to cause a denial of s...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2017-9937;libjbig0;NEGLIGIBLE;In LibTIFF 4.0.8, there is a memory malloc failure in tif_jbig.c. A crafted TIFF document can lead t...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2024-2236;libgcrypt20;NEGLIGIBLE;A timing-based side-channel flaw was found in libgcrypt's RSA implementation. This issue may allow a...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-10126;libtiff6;NEGLIGIBLE;ijg-libjpeg before 9d, as used in tiff2pdf (from LibTIFF) and other products, does not check for a N...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2015-9019;libxslt1.1;NEGLIGIBLE;In libxslt 1.1.29 and earlier, the EXSLT math.random function was not initialized with a random seed...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2018-6829;libgcrypt20;NEGLIGIBLE;cipher/elgamal.c in Libgcrypt through 1.8.2, when used to encrypt messages directly, improperly enco...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-1010024;libc-bin;NEGLIGIBLE;GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2019-1010024;libc6;NEGLIGIBLE;GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using ca...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2010-4756;libc-bin;NEGLIGIBLE;The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users ...
